epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,207.154,0.38933,0.28891,0.8587,0.95971,0.97333,0.98472,0.91766,0.41633,0.23727,0.82793,0.00038375,0.00038375,0.00038375
44,211.196,0.37253,0.27301,0.85774,0.94281,0.99433,0.98806,0.94193,0.39907,0.24562,0.82294,0.000363125,0.000363125,0.000363125
45,215.153,0.38938,0.26634,0.87036,0.95379,0.97351,0.98806,0.93859,0.39424,0.24196,0.822,0.0003425,0.0003425,0.0003425
46,219.488,0.39481,0.29146,0.88584,0.95191,0.94429,0.98806,0.93422,0.39697,0.25423,0.82346,0.000321875,0.000321875,0.000321875
47,223.65,0.38007,0.26311,0.85073,0.9349,0.96464,0.98806,0.92878,0.42323,0.27941,0.8285,0.00030125,0.00030125,0.00030125
48,227.272,0.37714,0.26108,0.85909,0.99018,0.94128,0.99167,0.93034,0.44119,0.29325,0.83423,0.000280625,0.000280625,0.000280625
49,231.892,0.38011,0.28785,0.85912,0.98785,0.944,0.989,0.93436,0.43264,0.30515,0.83443,0.00026,0.00026,0.00026
50,235.71,0.37235,0.25687,0.86208,0.96764,0.96534,0.989,0.93063,0.39867,0.29594,0.82885,0.000239375,0.000239375,0.000239375
51,259.102,0.35977,0.28043,0.88114,0.95069,0.94377,0.985,0.92466,0.39264,0.34885,0.82643,0.00021875,0.00021875,0.00021875
52,271.55,0.34148,0.24236,0.84417,0.96871,0.92685,0.98682,0.94058,0.40416,0.36772,0.83085,0.000198125,0.000198125,0.000198125
53,277.291,0.32494,0.21786,0.84249,0.95578,0.94699,0.98682,0.94114,0.4015,0.35771,0.83225,0.0001775,0.0001775,0.0001775
54,283.192,0.3084,0.20345,0.83738,0.97258,0.94652,0.989,0.93798,0.39372,0.33157,0.83065,0.000156875,0.000156875,0.000156875
55,286.912,0.33275,0.24385,0.85729,0.9741,0.9465,0.995,0.94119,0.38826,0.32106,0.82745,0.00013625,0.00013625,0.00013625
56,290.602,0.33167,0.23702,0.88747,0.97155,0.94811,0.995,0.9317,0.39122,0.31644,0.82843,0.000115625,0.000115625,0.000115625
57,295.053,0.34836,0.22298,0.85292,0.96941,0.94899,0.995,0.93512,0.39387,0.32701,0.82947,9.5e-05,9.5e-05,9.5e-05
58,298.9,0.30769,0.21541,0.83086,0.96933,0.94912,0.995,0.94312,0.38536,0.3263,0.82643,7.4375e-05,7.4375e-05,7.4375e-05
59,302.474,0.31389,0.21795,0.84005,0.97236,0.94782,0.995,0.94518,0.37466,0.31337,0.82418,5.375e-05,5.375e-05,5.375e-05
60,306.149,0.29352,0.20538,0.83697,0.97463,0.94687,0.995,0.94307,0.37318,0.30465,0.82469,3.3125e-05,3.3125e-05,3.3125e-05
